Name,City,State
UCLA Bunche Hall,Los Angeles,California 
UCLA Campbell Hall,Los Angeles,California 
UCLA California Nano Systems Institute,Los Angeles,California 
UCLA Covel Commons,Los Angeles,California 
UCLA Dentistry ,Los Angeles,California 
UCLA Drake Stadium,Los Angeles,California 
UCLA Facilities Management,Los Angeles,California 
UCLA Fernald Child Care Center,Los Angeles,California 
UCLA Health Sciences,Los Angeles,California 
UCLA John Wooden Center,Los Angeles,California 
UCLA Kerckhoff,Los Angeles,California 
UCLA Kinross Center,Los Angeles,California 
UCLA Krieger Center (A and B),Los Angeles,California 
UCLA La Kretz,Los Angeles,California 
UCLA Lath House,Los Angeles,California 
UCLA Law School,Los Angeles,California 
UCLA MacDonald Research Lab (MRL),Los Angeles,California 
UCLA MacGowen Hall,Los Angeles,California 
UCLA Orthopaedic Hospital Research Center,Los Angeles,California 
UCLA Pauley Pavilion,Los Angeles,California 
UCLA Plant Growth Center,Los Angeles,California 
UCLA Reed Center,Los Angeles,California 
UCLA Rehabilitation Center,Los Angeles,California 
UCLA Royce Hall,Los Angeles,California 
UCLA Ronald Reagan Medical Center,Los Angeles,California 
UCLA Schoenberg Music Center,Los Angeles,California 
UCLA Semel Institute,Los Angeles,California 
UCLA Science and Tech Research Building,Los Angeles,California 
UCLA Sycamore Tennis Courts,Los Angeles,California 
UCLA Terasaki Life Science Building,Los Angeles,California 
UCLA Warren Hall,Los Angeles,California 
UCLA Young Research Library,Los Angeles,California 
Stir Crazy Coffee Shop,Los Angeles,California 
Birnkrant Residence Hall Lobby,Los Angeles,California 
BirnKrant Residence Hall Lobby,Los Angeles,California 
Engemann Student Health Center,Los Angeles,California 
Taper Hall (University of Southern California),Los Angeles,California 
Taper Hall of Humanities 1st floor (north end),Los Angeles,California 
The Box LA,Los Angeles,California 
ONE National Gay and Lesbian Archives at the USC Libaries,Los Angeles,California 
USC Joint Educational Project,Los Angeles,California 
Craft Beer Cellar,Los Angeles,California 
Swinger's Diner Hollywood,Los Angeles,California 
UCLA Student Activities Center,Los Angeles,California 
The Novo by Microsoft,Los Angeles,California 
McKay Hall,Los Angeles,California 
Coffee Bean and Tea Leaf,Los Angeles,California 
Young Research Library,Los Angeles,California 
Kindness & Mischief Coffee,Los Angeles,California 
Gnomon School of Visual Effects ,Los Angeles,California 
ETO Doors,Los Angeles,California 
Stumptown Coffee Roasters,Los Angeles,California 
Student Activites Center,Los Angeles,California 
Nature's Brew,Los Angeles,California 
Immediate Medical Care,Los Angeles,California 
Ackerman Union,Los Angeles,California 
Bar Bandini,Los Angeles,California 
Bar Bandini,Los Angeles,California 
Bar Bandini,Los Angeles,California 
"Taper Hall, USC",Los Angeles,California 
UCLA EPSS,Los Angeles,California 
"Loyola Marymount University, Whelan residence hall",Los Angeles,California 
Young Research Library UCLA,Los Angeles,California 
Revenge Fantasy Cycles,Los Angeles,California 
Broad Art Center,Los Angeles,California 
Fix Coffee,Los Angeles,California 
Lassens,Los Angeles,California 
Starbucks,Los Angeles,California 
Next stage theater,Los Angeles,California 
Starbucks,Los Angeles,California 
Zankou Chicken,Los Angeles,California 
In N Out,Los Angeles,California 
LAX Terminal 1,Los Angeles,California 
Stout,Los Angeles,California 
Starbucks,Los Angeles,California 
Las Galas,Los Angeles,California 
Spring Street Bar & Sandwich Shoppe,Los Angeles,California 
PacMutual Building,Los Angeles,California 
Arclight Hollywood,Los Angeles,California 
Trader Joe's ,Los Angeles,California 
McDonalds,Los Angeles,California 
Del Taco,Los Angeles,California 
West LA Studio Services,Los Angeles,California 
Kaiser Permanente West LA Medical Center: Urgent Care,Los Angeles,California 
UCLA Charles E. Young Research Library,Los Angeles,California 
Staples,Los Angeles,California 
KMart,Los Angeles,California 
Edelman Westside Mental Health,Los Angeles,California 
Natural History Museum,Los Angeles,California 
LAX Southwest Terminal 1,Los Angeles,California 
"9175 De Soto Ave, Chatsworth, CA 91311, USA",Los Angeles,California 
"9168 De Soto Ave, Chatsworth, CA 91311, USA",Los Angeles,California 
Snowya,Los Angeles,California 
Trader joes,Los Angeles,California 
House of Pies,Los Angeles,California 
Kaiser Permanente Urgent Care,Los Angeles,California 
Marmalade Cafe,Los Angeles,California 
Folklore Salon,Los Angeles,California 
Tipsy Cow Bar,Los Angeles,California 
Mel's Drive In,Los Angeles,California 
Inko Nito Restaurant,Los Angeles,California 
Pizzanista!,Los Angeles,California 
"19652-19654 Plummer St, Northridge, CA 91324, USA",Los Angeles,California 
Ministry of Coffee,Los Angeles,California 
My Vegan Gold,Los Angeles,California 
Trader Joes,Los Angeles,California 
Starbucks ,Los Angeles,California 
ProjectQ,Los Angeles,California 
Starbucks,Los Angeles,California 
Bootleg Theater,Los Angeles,California 
Groundwork Coffee Co.,Los Angeles,California 
The Resident,Los Angeles,California 
Salt & Straw,Los Angeles,California 
EdiBOL,Los Angeles,California 
Trans Wellness Center,Los Angeles,California 
Eat Drink Americano,Los Angeles,California 
Urth Cafe,Los Angeles,California 
Starbucks ,Los Angeles,California 
Starbucks ,Los Angeles,California 
Starbucks ,Los Angeles,California 
Starbucks ,Los Angeles,California 
Starbucks ,Los Angeles,California 
Starbucks ,Los Angeles,California 
The Coffee Bean & Tea Leaf,Los Angeles,California 
Starbucks ,Los Angeles,California 
Starbucks ,Los Angeles,California 
Starbucks ,Los Angeles,California 
Starbucks,Los Angeles,California 
Target,Los Angeles,California 
Life Sciences Building,Los Angeles,California 
Life Sciences Building,Los Angeles,California 
Superior Grocers,Los Angeles,California 
Michelson Hall,Los Angeles,California 
Ethel Percy Andrus Gerontology Center,Los Angeles,California 
Soul Restaurant ,Los Angeles,California 
Trader Joe’s,Los Angeles,California 
Blu Elefant Cafe,Los Angeles,California 
Boba Time,Los Angeles,California 
USC School of Cinematic Arts,Los Angeles,California 
